TypeFinish;Emissivity;CondFinish;ThkFinish
Aluminum Paint;0.50;225.00;0.01
Aluminum new bright;0.04;225.00;0.80
Aluminum oxidized in service;0.10;225.00;0.80
Colored mastics;0.90;0.16;0.01
em 0.2;0.20;225.00;0.80
Galvanized;0.10;60.00;0.60
Galvanized Steel dipped or dull;0.28;60.00;0.60
Painted Metal;0.80;0.16;0.01
PVC Jacketing;0.90;0.16;0.40
Stainless Steel dull in service;0.30;16.00;0.60
Stainless Steel new cleaned;0.13;16.00;0.60
